"","Dim 1","Dim 2","Dim 3","Dim 4","Dim 5"
"Betfred",-0.242733880943631,0.348737262039782,0.182354720939835,-0.0297681538243954,0.013626926976855
"Boyle.Sports",-0.0892445823448713,-0.320717552089108,0.174202695390947,0.0794057423761387,-0.0197382802278097
"Coral",-0.269537389397998,-0.00500232335685941,-0.203359605798332,0.0138393116242879,-0.0086478021838737
"Ladbrokes",0.372823055681441,0.201322634003036,-0.0499705945632208,0.149702512277845,0.00396499410307069
"PaddyPower",0.120209488360867,-0.200312400942019,-0.0215198856560173,-0.0672871682394098,0.0533460905795932
"William.Hill",0.258124013689725,0.0286652120534121,-0.000430692044168667,-0.139783465032483,-0.0382066403165784
"Great customer service",-0.189014150042009,-0.0342042487382188,-0.274477439687276,0.0984787687975757,0.0231197775080823
"Friendly staff",-0.109509081440248,-0.0356856944145682,-0.0725320680466102,-0.171286393130424,-0.00208886273403842
"Good odds",-0.101860355876958,0.127475142597634,-0.0127910904866387,0.0546335857976261,-0.0332835550254599
"Trust & Reliability",-0.0859492248754936,0.310805959821016,0.180391602540131,0.00278635130571525,0.0406473443262099
"Good Offers/Promotions",0.340086505554269,0.131563588878393,0.0136948635671009,-0.00981894279903311,-0.0545868328121497
"Atmosphere",0.0583183461123522,-0.17747944021001,0.114773729453319,-0.0113571350200282,0.00382203839672212
"Seamless experience",0.0258817978899589,0.119427543930409,0.0832159798375549,0.114616743737074,-0.019090947892561
"Best Brand",0.738084620432084,-0.0941388292934842,-0.0948011500074553,0.0151537577112846,0.0326738372256637
"Fun & Entertainin",-0.168955999203907,-0.594569159206667,0.187774278569121,0.0659577580363512,-0.000821528388453115
